,EPS,P/E,RoE,Debt/Equity,Cash Flow/Share,Div Yield,Beta
MAS,2.41,15.688796680497925,-1.7297297297297298,-47.96396396396396,1.2835619182798912,0.011901613329806928,1.53
MA,5.6263,39.69216003412545,0.16663577386468953,3.590546802594995,1.2689304306672977,0.004836109618484686,1.02
MAT,-1.5369,,0.022255414488424198,6.831964152352501,2.0409965493363775,,1.74
MKC,7.1024,19.11184951565668,0.06748872559841054,2.2309754328424107,3.5251992202474653,0.015323412406070429,0.01
MCD,,,-0.22614406238016108,-6.242745749712387,1.9607995745288036,0.02287492493312224,0.4
MCK,-1.3056,,0.05106151333696244,5.467392487751769,-0.92271601720318,0.011103505970035742,1.46
MDT,3.65,25.69041095890411,0.025467097473358888,0.7784422725721969,1.532907152820773,0.020902207529060468,0.57
MTD,20.36,33.34135559921415,0.30706212726437687,3.4382498140029116,8.008550110909457,,1.47
MCHP,1.4,63.60000000000001,0.009532851523899944,2.5177965937493947,2.031911347053834,0.016340970350404313,1.28
MU,12.7964,3.3267168891250662,0.09722755321975848,0.288139596681331,4.290620400517372,,1.28
MSFT,4.35,25.51034482758621,0.09139458145189301,1.8097755296978117,1.1600308125038288,0.015860142380823648,1.03
TAP,5.1717,11.974785853781155,0.005626545449161201,1.2122244103232303,2.751437184699275,0.02648151138382044,1.04
MDLZ,1.6985,28.095378274948484,0.03128291141709248,1.4438506845574755,1.4285021846458519,0.020117351215423303,0.77
MNST,1.7,34.37647058823529,0.06876820932137456,0.25122654058917615,0.5788090704079658,,1.43
MSI,5.9411,23.561293363181903,-0.3271461716937355,-8.263727764887857,4.955117134819462,0.01521645949421346,0.72
MYL,1.04,30.057692307692307,0.014644212759609488,1.7726707662727288,1.267573128846016,,1.69
NOV,-0.0874,,0.0008683696360083942,0.42745495332513206,0.5763718824410001,0.00702247191011236,1.58
NKTR,4.3027,9.308108861877425,-0.053707512672320656,0.25639369830659586,-0.41258341277407057,,3.74
NTAP,4.0328,16.370759769886927,0.20243902439024392,5.84390243902439,1.8260957586800284,0.021205695243865494,1.28
NFLX,2.78,130.58273381294964,0.025565949226582983,3.9581151282792795,-2.8288475237002375,,1.53
NWL,-14.6808,,0.039691016593553306,2.3724203700171658,1.0676949443016281,0.05392731535756155,1.4
NWSA,-2.2446,,0.010254749568221071,0.6253238341968912,0.6358268993706612,0.015408320493066256,1.33
NWS,-2.2446,,0.010254749568221071,0.6253238341968912,1.2272704503331162,0.01514004542013626,1.36
NEE,14.11,13.33309709425939,0.01235941893158388,1.9277471883786317,4.193086948520185,0.023600701642481264,0.19
NLSN,0.9,29.0,0.02389843166542196,3.0918595967139657,1.0901930514982408,0.0528735632183908,1.14
NKE,1.37,61.86861313868613,0.09703287890938252,1.597892083858403,1.2107056888867704,0.009674374705049551,0.85
