,EPS,P/E,RoE,Debt/Equity,Cash Flow/Share,Div Yield,Beta,cluster
GPN,2.86,44.660839160839174,0.018843981583436614,2.26597563215177,2.817614362948051,0.00031316057308384876,1.02,11
GT,2.9321,6.599365642372361,0.02261513157894737,2.4263980263157894,4.078433399225657,0.029974160206718344,1.45,10
GWW,13.8483,22.55655928886578,0.09985666507405637,1.8060200668896318,5.620922988793813,0.017159138201491817,1.42,1
HAL,1.8906,16.56616947000952,0.0697332493173703,1.7263180004200798,0.9764561746527104,0.02298850574712644,1.43,10
HBI,1.5194,12.590496248519152,0.1665709901131938,6.478187291748903,1.3892630262517154,0.031364349189754316,0.98,10
HOG,3.1833,11.657713693337104,0.0002790384616468681,5.01238479798461,0.51197238888923,0.039881433575855565,1.45,10
HRS,7.2201,22.97475104222933,0.06594372801875732,1.887456037514654,2.9873546634982597,0.015131420303834096,1.19,1
HAS,1.7245,49.86952739924616,0.004996335108972087,1.9997321152747871,3.7250982159090014,0.02930232558139535,1.13,11
HCA,0.0,0.0,-0.21494949494949492,-8.51010101010101,6.31971664424499,0.009719522354901415,1.43,9
HCP,2.2392,13.955877098963914,0.13951274460045768,1.0439945636585723,0.4659795885903736,0.04736,0.69,10
HSIC,3.5093,17.08032941042373,0.044903104413824585,1.5690854655945363,1.941533136946672,0.0,0.78,10
HES,0.0,0.0,-0.00041541177692387584,1.0951292969155677,2.8617554482171688,0.017494751574527644,2.29,18
HPE,1.18,13.830508474576273,-0.03564197937756015,1.6111398841753377,0.9629909365558912,0.022977941176470583,1.6,10
HOLX,-1.4969,0.0,0.041179418643501504,1.8948797193451383,0.3590910807405653,0.0,0.88,18
HD,9.21,20.889250814332247,2.171969696969697,33.24242424242424,1.884854762600373,0.020687145901554137,1.24,13
HON,9.11,16.81668496158068,0.09466446644664467,2.1676567656765675,2.138293699234384,0.019941253263707576,1.25,19
HRL,1.79,23.972067039106143,0.04231236435901215,0.4293224465931821,0.3505918487979708,0.018002796550920533,-0.11,1
HPQ,3.29,7.215805471124621,-2.2707355242566507,-55.181533646322386,0.6231091084647571,0.0234709351305813,1.37,7
HUM,12.24,25.300653594771237,0.03493750615096939,1.5010333628579864,-2.4273436987469657,0.006458279514337382,1.08,1
HBAN,1.22,11.745901639344266,0.030084669428931725,8.798324626193477,0.4900602783695226,0.03489183531053733,1.45,10
HII,19.1381,11.344386328841422,0.13984168865435356,3.4294195250659625,15.603178425234768,0.013909999539403988,1.08,0
INFO,1.3759,38.60018896722145,0.010198865407393554,1.001920079795524,0.8419193405946424,0.0,0.98,11
ITW,7.65,18.93202614379085,0.186539643515673,3.5685310387215736,2.4656515537566897,0.024580542705240627,1.23,1
ILMN,5.615,53.617097061442564,0.05588078765300692,0.8124002128791911,2.0408163265306123,0.0,1.38,11
INCY,0.52,163.1730769230769,0.03585886985602557,0.3737317409903701,0.3916785020182389,0.0,1.13,12
IR,5.42,19.618081180811807,0.03616842524973134,1.5450040582681928,2.0079445247668404,0.018433179723502304,1.21,1
INTC,4.57,11.485776805251641,0.06967262583318805,0.7161729007684776,1.534356237491661,0.022861497428081537,0.52,10
ICE,3.46,21.728323699421967,0.03552119062845183,4.38864019533748,1.4036988696530155,0.012769353551476455,0.39,1
IBM,9.57,14.550679205851619,0.1162181471778995,6.337997142176709,4.5301795566432,0.04459605026929982,1.73,19
IP,4.91,9.519348268839103,0.04292311871773975,3.5578647106764465,2.027020354148356,0.04118528027385537,1.51,10
IFF,4.1796,30.67996937505981,0.0021545911274066442,1.1192780721497626,2.201727647042272,0.022147703345550964,0.54,16
INTU,4.91,51.10794297352343,0.012221423436376708,0.7713874910136592,-0.5509854162251718,0.00653542679524986,0.97,11
ISRG,9.93,55.575025176233645,0.0437952925675271,0.17356411331376895,2.9531221340041403,0.0,1.26,5
IPGP,7.55,20.719205298013247,0.03425860602444381,0.1669498918182692,2.1353556722450984,0.0,1.79,1
IQV,1.2759,111.65451837918332,0.01027703306523682,2.322758415251713,2.110323886639676,0.0,1.12,4
IRM,1.0837,32.83196456583925,0.05526966638006985,5.252219002430767,1.0860437342421936,0.0667088251826869,0.98,16
JBHT,0.0,0.0,0.042201234995602896,1.4229969391600965,2.8537866453256804,0.008798460269452845,1.23,18
JEC,2.1087,35.30611277090151,0.021560021011273568,1.2348512159179517,-1.610563587233097,0.008327736736064472,1.36,16
SJM,11.7766,8.611993274799177,0.023349937733499374,1.1387546699875466,1.7836108229750876,0.032143561427726286,0.66,19
JNJ,5.69,24.00702987697715,0.05091042977640916,1.559813897442763,2.3281307094012638,0.025915080527086385,0.65,1
